seed,experiment,model,mode,val_acc,val_f1,test_acc,test_f1,gen_gap_acc,gen_gap_f1,future_retention_pct,best_epoch,epochs_run,train_minutes,summary_path
45,experiment_seed_45,dinov2,full,85.802,85.558,39.45,39.169,46.352,46.389,45.78,14,15,14.93,R:\Anti gravity\Rice Disease Project\results\experiment_seed_45\dinov2_full\summary.json
45,experiment_seed_45,dinov2,partial,82.195,81.785,49.95,48.131,32.245,33.654,58.85,10,15,5.97,R:\Anti gravity\Rice Disease Project\results\experiment_seed_45\dinov2_partial\summary.json
46,experiment_seed_46,resnet50,full,93.246,93.107,47.55,44.451,45.696,48.656,47.74,15,15,12.83,R:\Anti gravity\Rice Disease Project\results\experiment_seed_46\resnet50_full\summary.json
46,experiment_seed_46,resnet50,partial,81.12,80.856,40.625,39.561,40.495,41.295,48.93,15,15,5.87,R:\Anti gravity\Rice Disease Project\results\experiment_seed_46\resnet50_partial\summary.json
46,experiment_seed_46,densenet121,full,92.863,92.862,46.25,44.165,46.613,48.697,47.56,14,15,19.03,R:\Anti gravity\Rice Disease Project\results\experiment_seed_46\densenet121_full\summary.json
46,experiment_seed_46,densenet121,partial,73.983,73.037,37.85,36.838,36.133,36.199,50.44,10,15,7.43,R:\Anti gravity\Rice Disease Project\results\experiment_seed_46\densenet121_partial\summary.json
46,experiment_seed_46,efficientnet_b0,full,92.325,92.212,48.025,45.105,44.3,47.107,48.91,9,14,8.51,R:\Anti gravity\Rice Disease Project\results\experiment_seed_46\efficientnet_b0_full\summary.json
46,experiment_seed_46,efficientnet_b0,partial,78.895,78.7,36.6,33.524,42.295,45.176,42.6,15,15,5.08,R:\Anti gravity\Rice Disease Project\results\experiment_seed_46\efficientnet_b0_partial\summary.json
46,experiment_seed_46,dinov2,full,84.804,84.496,38.775,38.641,46.029,45.855,45.73,14,15,14.9,R:\Anti gravity\Rice Disease Project\results\experiment_seed_46\dinov2_full\summary.json
46,experiment_seed_46,dinov2,partial,80.66,80.184,51.275,49.672,29.385,30.512,61.95,3,8,3.55,R:\Anti gravity\Rice Disease Project\results\experiment_seed_46\dinov2_partial\summary.json
47,experiment_seed_47,resnet50,full,93.246,93.115,49.0,46.672,44.246,46.442,50.12,14,15,12.77,R:\Anti gravity\Rice Disease Project\results\experiment_seed_47\resnet50_full\summary.json
47,experiment_seed_47,resnet50,partial,80.89,80.722,39.8,38.351,41.09,42.371,47.51,9,14,5.32,R:\Anti gravity\Rice Disease Project\results\experiment_seed_47\resnet50_partial\summary.json
47,experiment_seed_47,densenet121,full,92.786,92.734,49.525,48.282,43.261,44.452,52.07,14,15,18.89,R:\Anti gravity\Rice Disease Project\results\experiment_seed_47\densenet121_full\summary.json
47,experiment_seed_47,densenet121,partial,74.52,73.723,33.425,34.575,41.095,39.148,46.9,7,12,6.08,R:\Anti gravity\Rice Disease Project\results\experiment_seed_47\densenet121_partial\summary.json
47,experiment_seed_47,efficientnet_b0,full,92.709,92.588,48.025,45.102,44.684,47.486,48.71,14,15,9.03,R:\Anti gravity\Rice Disease Project\results\experiment_seed_47\efficientnet_b0_full\summary.json
